Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Vault,SA MILLIGAN,I043,AllSpice_PacificSpiceCompany _25lb/bg Item#713001-925,0,0,0,0,INGREDIENT,,152.5,,1,,,,0
Sumner Vault,SA MILLIGAN,I044,SpiceBlend_SAMilligan _50lb/cs Item#901801-950,0,0,0,0,INGREDIENT,,315,,1,,,,0
Sumner Vault,SA MILLIGAN,I045,GingerGround_HudsonTraders _50lb/bg Item#737001-950-AB,0,0,0,0,INGREDIENT,,187.5,,1,,,,0
Sumner Vault,THE GINGER PEOPLE,I046,GingerPuree_TheGingerPeople _22.05lb/BLItem#25116,0,0,0,0,INGREDIENT,,2.22,,1,,,,0
Sumner Vault,THE GINGER PEOPLE,I047,GingerinSyrup_TheGingerPeople _29.8lb/bkItem#21244,0,0,0,0,INGREDIENT,,2.95,,1,,,,0
Sumner Vault,THE GINGER PEOPLE,I048,GingerCrystalized_TheGingerPeople _25.4lb/bg Item#20144,0,0,0,0,INGREDIENT,,4.43,,1,,,,0
Sumner Vault,OLIVE NATION,I051,LemonEmulsion_OliveNation _1gal Item#BAI14,0,0,0,0,INGREDIENT,,63.99,,1,,,,0
Sumner Vault,DAWN FOODS INC,I052,PoppySeed_Bayst_50lb/bg Item#250241,0,0,0,0,INGREDIENT,,116.9,,1,,,,0
Sumner Vault,COSTCO,I008,Coffee_Folgers _1lb/jg_ 480pp Item#24722,1164,0,0,0,INGREDIENT,,10.69,,1,,,,12443.16
Sumner Vault,DSM,I029,A2_Maxapal_44lb/jg Item#20821,10,0,0,0,INGREDIENT,,5589.2,,1,,,,55892
Sumner Vault,FLAVORCHEM,I036,ChocolateFlavor_Flavorchem _5ga/jg Item#17.1179,22,0,0,0,INGREDIENT,,77.97,,1,,,,1715.34
Sumner Vault,OLIVE NATION,I049,LemonExtract_OliveNation _1gal Item#AAQ128,0,0,0,0,INGREDIENT,,54.99,,1,,,,0
Sumner Vault,OLIVE NATION,I050,LemonOil_OliveNation _32floz Item#OCY14,0,0,0,0,INGREDIENT,,477.99,,1,,,,0
Sumner Vault,CEREAL INGREDIENTS,I041,Cinnamon Chips Inclusions (50lb/cs)Item#2756-4,0,0,0,0,INGREDIENT,,150.5,,1,,,,0
Sumner Vault,SYSCO,I053,Mayonnaise_Sysco _30lb/cs_60pp Item#4116489,0,0,0,0,INGREDIENT,,47.99,,1,,,,0
Sumner Vault,INTERNATIONAL FOOD PRODUCTS,I054,SunflowerLecithin_ NavadaImports_44lb/cs Item#203018,0,0,0,0,INGREDIENT,,687.8,,1,,,,0
Sumner Vault,BAYCO,I055,PalmShortening_Olera_50lb/cs Item#3639,0,0,0,0,INGREDIENT,,52.9,,1,,,,0
Sumner Vault,SYSCO,I056,OilSprayCans_ParwayTryson _6btls/cs,0,0,0,0,INGREDIENT,,42.89,,1,,,,0
Sumner Vault,MEDOSWEET,I058,Milk2%_SmithBrotherFarms Item#0206,0,0,0,0,INGREDIENT,,3.13,,1,,,,0
Sumner Vault,BC FOODS,I057,PumpkinPowder_BCFoods _50lb/cs,0,0,0,0,INGREDIENT,,500,,1,,,,0
Sumner Vault,Uline,P041,CleanMatPad_Uline_60sh/ct Item#H-3465BLU,0,0,0,0,PACKAGING,,58,,1,,,,0
Sumner Vault,MEDOSWEET,I059,Buttermilk_EdaleenDairy _5ga/bg_45pp Item#0507,0,0,0,0,INGREDIENT,,16.19,,1,,,,0
Sumner Vault,GREAT LITTLE BOX COMPANY,P012,RingCakeBox(12pk)_GLBC _25pc/bn,0,0,0,0,PACKAGING,,72.56,,1,,,,0
Sumner Vault,BRIDGEWELL,I060,TapiocaStarch_Bridgewell _50lb/bg,0,0,0,0,INGREDIENT,,55,,1,,,,0
